Molecule,Concentration,Fold expansion (72 h/0 h),Normalized growth
IPTG,0,31.84331797,0.9471540146
IPTG,8,30.14423077,0.8966160253
IPTG,40,27.32673267,0.8128117987
IPTG,200,31.69082126,0.9426181218
IPTG,1000,29.07407407,0.8647850706
IPTG,5000,26.77725118,0.7964679115
IPTG,0,33.06976744,0.9836337728
IPTG,8,33.5483871,0.9978699315
IPTG,40,27.71300448,0.8243011447
IPTG,200,28.92241379,0.8602740569
IPTG,1000,31.93396226,0.9498501566
IPTG,5000,33.42857143,0.9943061103
IPTG,0,34.04545455,1.012654805
IPTG,40,33.95555556,1.009980832
IPTG,200,37.26027397,1.108277037
IPTG,1000,27.84482759,0.8282221174
IPTG,5000,30.08733624,0.8949237431
IPTG,0,34.01826484,1.011846069
IPTG,40,29.76744186,0.8854087406
IPTG,200,29.75206612,0.8849514014
IPTG,1000,34.84848485,1.036540299
IPTG,5000,35.58951965,1.058581786
IPTG,0,32.39837398,0.9636637116
IPTG,0,36.37209302,1.081858805
Cumate,0,31.84331797,0.9471540146
Cumate,1.6,32.93269231,0.9795565826
Cumate,8,28.15165877,0.8373485654
Cumate,40,34.02985075,1.012190683
Cumate,200,23.88625592,0.7104775706
Cumate,1000,7.183098592,0.2136555203
Cumate,0,33.06976744,0.9836337728
Cumate,1.6,34.59574468,1.029022745
Cumate,8,29.38596491,0.874062014
Cumate,40,31.10132159,0.9250839258
Cumate,200,28.04651163,0.8342210478
Cumate,1000,15.33039648,0.455990377
Cumate,0,34.04545455,1.012654805
Cumate,8,33.96624473,1.010298772
Cumate,40,33.86956522,1.007423118
Cumate,200,26.90909091,0.8003893786
Cumate,1000,8.755364807,0.2604213208
Cumate,0,34.01826484,1.011846069
Cumate,8,28.29457364,0.841599454
Cumate,40,31.81434599,0.9462922663
Cumate,200,28.16326531,0.8376937926
Cumate,1000,16.92622951,0.5034571537
Cumate,0,32.39837398,0.9636637116
Cumate,0,36.37209302,1.081858805
DAPG,0,31.84331797,0.9471540146
DAPG,0.8,35.02392344,1.04175858
DAPG,4,29.80952381,0.8866604345
DAPG,20,34.27906977,1.019603503
DAPG,100,0.2018779343,0.006004697629
DAPG,500,0.1668161435,0.004961812716
DAPG,0,33.06976744,0.9836337728
DAPG,0.8,35.88983051,1.067514292
DAPG,4,29.3877551,0.8741152618
DAPG,20,29.28571429,0.8710801394
DAPG,100,0.168558952,0.005013651159
DAPG,500,0.1484978541,0.004416949854
DAPG,0,34.04545455,1.012654805
DAPG,4,33.1512605,0.9860577187
DAPG,20,33.63636364,1.000486723
DAPG,100,0.2093617021,0.006227296316
DAPG,500,0.1764705882,0.00524897645
DAPG,0,34.01826484,1.011846069
DAPG,4,28.45528455,0.8463796714
DAPG,20,29.02542373,0.863338005
DAPG,100,0.2055776892,0.00611474388
DAPG,500,0.2174468085,0.006467781336
DAPG,0,32.39837398,0.9636637116
DAPG,0,36.37209302,1.081858805