Strain,RLuc_bkgr,FLuc_bkgr,RLuc_0,FLuc_0,Signal_0,RLuc_1,FLuc_1,Signal_1,Induction
pSG372,290,72,1919018,6381,0.003288115877,1945616,91350,0.04710620256,14.32619905
pSG372_NoApt,290,72,1602374,583665,0.3642711618,1911880,812452,0.6116868397,1.679207425
pPC01,290,72,2820296,6351,0.002226591007,1503043,87575,0.05851237113,26.27890391
pPC02,290,72,1955149,1322,0.0006394323069,1966551,8291,0.004218846435,6.597799938
pPC03,290,72,2818486,1162,0.0003867722472,1966886,11266,0.00573122148,14.8180784
pPC04,290,72,2191786,599,0.0002404749997,1659646,14449,0.008709216652,36.21672383
pPC05,290,72,1775778,565,0.0002776701391,1412675,6171,0.00437005596,15.73830003
pPC06,290,72,1482503,329578,0.2223067805,1284982,721985,0.7556853202,3.39929047
pPC07,290,72,1533192,52672,0.0343140005,1339061,64450,0.05010145896,1.460087959
pPC08,290,72,2268887,29328,0.0128960763,1704294,51106,0.03051165642,2.365964322
pPC09,593,135,2233301,3470,0.001493701819,2250894,14815,0.006591990878,4.413190635
pPC10,290,72,1740076,4107,0.002319250758,1415262,19847,0.01406436407,6.064184315
pSG372,290,72,1960377,7245,0.003659531439,2000972,101915,0.05111782924,13.96840828
pSG372_NoApt,290,72,1756272,712924,0.4059563253,1820956,869129,0.7843894346,1.932201534
pPC01,290,72,2344426,6586,0.002778849009,2224712,114945,0.05182076997,18.64828561
pPC02,290,72,2297960,1333,0.0005488168449,1775920,8180,0.004609522921,8.399018659
pPC03,290,72,2738485,1086,0.0003703169424,2102693,15778,0.007507588065,20.27341233
pPC04,290,72,2386968,639,0.0002375687043,1477223,15544,0.010527,44.31139206
pPC05,290,72,2173985,594,0.0002401440865,1271497,6881,0.00541426038,22.5458826
pPC06,290,72,1570478,424636,0.270390552,1307732,851979,0.9647634341,3.568036779
pPC07,290,72,1687190,60334,0.03572351651,1379541,52374,0.0397010964,1.111343459
pPC08,290,72,2636047,33394,0.01264228834,1693651,65344,0.03935775447,3.113182787
pPC09,593,135,2186230,3581,0.001576657057,2247709,18325,0.008165754548,5.179157073
pPC10,290,72,1913494,5325,0.002745655978,1553984,22704,0.0146604238,5.339497705
pSG372,290,72,1782270,9237,0.005143155367,1942587,97343,0.05034939088,9.78959166
pSG372_NoApt,290,72,1487743,615793,0.4139431632,1583114,874048,0.9035755308,2.182849268
pPC01,290,72,3015007,8575,0.002820496916,1137403,62867,0.05569227303,19.7455536
pPC02,290,72,2472252,1614,0.0006237959969,1921311,8808,0.004588223754,7.355327346
pPC03,290,72,2891259,1233,0.0004015954512,1909914,16595,0.008694485668,21.64986093
pPC04,290,72,2497495,828,0.0003027384616,1836430,19043,0.01037425308,34.2680379
pPC05,290,72,2235764,787,0.0003198426821,1589686,8942,0.005627796153,17.59551326
pPC06,290,72,1509583,471591,0.3124105127,1124658,683858,1.047147823,3.351832863
pPC07,290,72,1552961,62655,0.04030667154,1334279,61410,0.04829254535,1.198127841
pPC08,290,72,2752819,39361,0.0142737824,1583851,63236,0.04094295575,2.868402684
pPC09,593,135,2181307,3112,0.001365149213,2064766,15965,0.007743781757,5.672480111
pPC10,290,72,1901658,6675,0.003472762769,1204391,21737,0.01814870681,5.226013989