Strain,NLS,Replicate,Hours,aTc_nM,RLuc_bkgr,FLuc_bkgr,RLuc,FLuc,Signal
pPC071,NLS,1,72,0,432,131,192742,775,0.003348759815
pPC071,NLS,2,72,0,432,131,188673,860,0.003872695109
pPC071,NLS,3,72,0,432,131,176476,704,0.003254868101
pPC071,NLS,1,72,0.032,432,131,234131,1120,0.004231939375
pPC071,NLS,2,72,0.032,432,131,251636,1330,0.004773013169
pPC071,NLS,3,72,0.032,432,131,204925,1045,0.004469590646
pPC071,NLS,1,72,0.16,432,131,205755,1109,0.004763226721
pPC071,NLS,2,72,0.16,432,131,259382,1252,0.004329021047
pPC071,NLS,3,72,0.16,432,131,229125,1278,0.005015457404
pPC071,NLS,1,72,0.8,432,131,241016,1542,0.005864895421
pPC071,NLS,2,72,0.8,432,131,262292,1879,0.006675322692
pPC071,NLS,3,72,0.8,432,131,244605,1603,0.006028512571
pPC071,NLS,1,72,4,432,131,164592,2070,0.01181164717
pPC071,NLS,2,72,4,432,131,178106,2478,0.0132095861
pPC071,NLS,3,72,4,432,131,145919,1862,0.01189797027
pPC071,NLS,1,72,20,432,131,136895,7380,0.0531206261
pPC071,NLS,2,72,20,432,131,182545,6721,0.03618632388
pPC071,NLS,3,72,20,432,131,120665,4993,0.04043814926
pPC071,NLS,1,72,100,432,131,132184,8915,0.06667071468
pPC071,NLS,2,72,100,432,131,142772,8624,0.05966699452
pPC071,NLS,3,72,100,432,131,105136,5845,0.0545728912
pPC071,NLS,1,72,500,432,131,123603,6816,0.0542741392
pPC071,NLS,2,72,500,432,131,131398,6864,0.05141028969
pPC071,NLS,3,72,500,432,131,97227,3922,0.03916524614
pPC009,No NLS,1,72,0,275,81,1419186,1548,0.001033891484
pPC009,No NLS,2,72,0,275,81,1547720,1749,0.001077905838
pPC009,No NLS,3,72,0,275,81,1326017,1469,0.001046960872
pPC009,No NLS,1,72,0.032,275,81,1676743,2048,0.001173300057
pPC009,No NLS,2,72,0.032,275,81,1678154,2667,0.001541231519
pPC009,No NLS,3,72,0.032,275,81,1574245,2509,0.00154259611
pPC009,No NLS,1,72,0.16,275,81,1878996,2525,0.001300885017
pPC009,No NLS,2,72,0.16,275,81,1763715,2837,0.001562854421
pPC009,No NLS,3,72,0.16,275,81,1547322,2529,0.001582369508
pPC009,No NLS,1,72,0.8,275,81,1717661,3258,0.001849904448
pPC009,No NLS,2,72,0.8,275,81,1722417,3421,0.001939445179
pPC009,No NLS,3,72,0.8,275,81,1961713,3253,0.001617180864
pPC009,No NLS,1,72,4,275,81,1251518,4872,0.00382899245
pPC009,No NLS,2,72,4,275,81,1284653,5026,0.003850112662
pPC009,No NLS,3,72,4,275,81,1094787,4836,0.004344401889
pPC009,No NLS,1,72,20,275,81,1691039,16501,0.009711586005
pPC009,No NLS,2,72,20,275,81,1457347,14579,0.009950091691
pPC009,No NLS,3,72,20,275,81,1352443,10690,0.007845918554
pPC009,No NLS,1,72,100,275,81,1531368,18505,0.01203323377
pPC009,No NLS,2,72,100,275,81,1482214,15053,0.01010297995
pPC009,No NLS,3,72,100,275,81,1596241,14627,0.00911422925
pPC009,No NLS,1,72,500,275,81,1276552,11414,0.008879733788
pPC009,No NLS,2,72,500,275,81,1635473,14082,0.008562265854
pPC009,No NLS,3,72,500,275,81,1568936,10663,0.006745880722