Replicate,Hours,RLuc_bkgr,FLuc_bkgr,RLuc_0aTc,FLuc_0aTc,Signal_0aTc,RLuc_1aTc,FLuc_1aTc,Signal_1aTc,Fold_change,Diff_RLuc,Diff_FLuc,Mean_RLuc0,Mean_RLuc1,Mean_Fold,Mean_growth,,,,
1,0,686,,24991,,0,24991,,0,#DIV/0!,1,#DIV/0!,24697,24697,#DIV/0!,NA,NA,#VALUE!,#VALUE!,#VALUE!
1,24,686,,62287,,0,113143,,0,#DIV/0!,1.825571013,#DIV/0!,62428.33333,110948,#DIV/0!,2.527769905,4.492367494,1.777205863,97.49236749,94.77720586
1,48,686,,13720,,0,128676,,0,#DIV/0!,9.819702317,#DIV/0!,14198.33333,123112.6667,#DIV/0!,0.2274341245,1.109642956,4.878964221,94.10964296,97.87896422
1,72,686,,11204,,0,308876,,0,#DIV/0!,29.30119795,#DIV/0!,10598.66667,291858,#DIV/0!,0.7464725907,2.370657771,3.175813554,95.37065777,96.17581355
1,96,686,,11972,,0,682262,,0,#DIV/0!,60.39128123,#DIV/0!,12657.33333,630776,#DIV/0!,1.194238269,2.161242796,1.809724954,,
1,120,686,,13098,,0,1750008,,0,#DIV/0!,140.9379633,#DIV/0!,14568.66667,1632130.667,#DIV/0!,1.151006004,2.587496459,2.248030375,,
1,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
1,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
2,0,686,,26309,,0,26309,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
2,24,686,,64318,,0,109047,,0,#DIV/0!,1.702932487,#DIV/0!,,,,,,,,
2,48,686,,16161,,0,120575,,0,#DIV/0!,7.74726979,#DIV/0!,,,,,,,,
2,72,686,,11168,,0,289588,,0,#DIV/0!,27.56172486,#DIV/0!,,,,,,,,
2,96,686,,14595,,0,610734,,0,#DIV/0!,43.8599468,#DIV/0!,,,,,,,,
2,120,686,,16828,,0,1602096,,0,#DIV/0!,99.20765704,#DIV/0!,,,,,,,,
2,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
2,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,0,686,,24849,,0,24849,,0,#DIV/0!,1,#DIV/0!,,,,,,,,
3,24,686,,62738,,0,112712,,0,#DIV/0!,1.805356798,#DIV/0!,,,,,,,,
3,48,686,,14772,,0,122145,,0,#DIV/0!,8.622674996,#DIV/0!,,,,,,,,
3,72,686,,11482,,0,279168,,0,#DIV/0!,25.79492405,#DIV/0!,,,,,,,,
3,96,686,,13463,,0,601390,,0,#DIV/0!,47.01447914,#DIV/0!,,,,,,,,
3,120,686,,15838,,0,1546346,,0,#DIV/0!,102.0102957,#DIV/0!,,,,,,,,
3,144,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
3,168,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,