Replicate,Hours,RLuc_bkgr,IPTG,DHA pulse,Value
1,0,259,Never,FALSE,16645
1,24,259,Never,FALSE,42554
1,48,259,Never,FALSE,30530
1,72,259,Never,FALSE,24597
1,96,510,Never,FALSE,19399
1,120,631,Never,FALSE,8927
1,144,464,Never,FALSE,2978
1,168,464,Never,FALSE,1534
1,192,,Never,FALSE,
1,216,,Never,FALSE,
1,240,,Never,FALSE,
1,264,,Never,FALSE,
2,0,259,Never,FALSE,15573
2,24,259,Never,FALSE,45020
2,48,259,Never,FALSE,31194
2,72,259,Never,FALSE,25624
2,96,510,Never,FALSE,21833
2,120,631,Never,FALSE,9712
2,144,464,Never,FALSE,3676
2,168,464,Never,FALSE,1295
2,192,,Never,FALSE,
2,216,,Never,FALSE,
2,240,,Never,FALSE,
2,264,,Never,FALSE,
3,0,259,Never,FALSE,16550
3,24,259,Never,FALSE,41648
3,48,259,Never,FALSE,31801
3,72,259,Never,FALSE,26907
3,96,510,Never,FALSE,20950
3,120,631,Never,FALSE,9691
3,144,464,Never,FALSE,3994
3,168,464,Never,FALSE,1716
3,192,,Never,FALSE,
3,216,,Never,FALSE,
3,240,,Never,FALSE,
3,264,,Never,FALSE,
1,0,259,Re-added at 30 h,FALSE,16786
1,24,259,Re-added at 30 h,FALSE,42433
1,48,259,Re-added at 30 h,FALSE,33027
1,72,259,Re-added at 30 h,FALSE,41270
1,96,510,Re-added at 30 h,FALSE,82247
1,120,631,Re-added at 30 h,FALSE,167099
1,144,464,Re-added at 30 h,FALSE,384644
1,168,464,Re-added at 30 h,FALSE,848736
1,192,,Re-added at 30 h,FALSE,
1,216,,Re-added at 30 h,FALSE,
1,240,,Re-added at 30 h,FALSE,
1,264,,Re-added at 30 h,FALSE,
2,0,259,Re-added at 30 h,FALSE,16734
2,24,259,Re-added at 30 h,FALSE,41307
2,48,259,Re-added at 30 h,FALSE,33112
2,72,259,Re-added at 30 h,FALSE,40300
2,96,510,Re-added at 30 h,FALSE,71297
2,120,631,Re-added at 30 h,FALSE,148775
2,144,464,Re-added at 30 h,FALSE,338291
2,168,464,Re-added at 30 h,FALSE,897331
2,192,,Re-added at 30 h,FALSE,
2,216,,Re-added at 30 h,FALSE,
2,240,,Re-added at 30 h,FALSE,
2,264,,Re-added at 30 h,FALSE,
3,0,259,Re-added at 30 h,FALSE,16022
3,24,259,Re-added at 30 h,FALSE,44039
3,48,259,Re-added at 30 h,FALSE,32629
3,72,259,Re-added at 30 h,FALSE,47874
3,96,510,Re-added at 30 h,FALSE,83202
3,120,631,Re-added at 30 h,FALSE,159314
3,144,464,Re-added at 30 h,FALSE,316761
3,168,464,Re-added at 30 h,FALSE,984498
3,192,,Re-added at 30 h,FALSE,
3,216,,Re-added at 30 h,FALSE,
3,240,,Re-added at 30 h,FALSE,
3,264,,Re-added at 30 h,FALSE,
1,0,259,Always,FALSE,15813
1,24,259,Always,FALSE,58431
1,48,259,Always,FALSE,72200
1,72,259,Always,FALSE,182103
1,96,510,Always,FALSE,362220
1,120,631,Always,FALSE,1068498
1,144,464,Always,FALSE,2891422
1,168,464,Always,FALSE,6569875
1,192,,Always,FALSE,
1,216,,Always,FALSE,
1,240,,Always,FALSE,
1,264,,Always,FALSE,
2,0,259,Always,FALSE,16712
2,24,259,Always,FALSE,59901
2,48,259,Always,FALSE,71040
2,72,259,Always,FALSE,180750
2,96,510,Always,FALSE,373424
2,120,631,Always,FALSE,1152386
2,144,464,Always,FALSE,3006785
2,168,464,Always,FALSE,7120186
2,192,,Always,FALSE,
2,216,,Always,FALSE,
2,240,,Always,FALSE,
2,264,,Always,FALSE,
3,0,259,Always,FALSE,16554
3,24,259,Always,FALSE,55987
3,48,259,Always,FALSE,69513
3,72,259,Always,FALSE,174901
3,96,510,Always,FALSE,335257
3,120,631,Always,FALSE,1081747
3,144,464,Always,FALSE,2907532
3,168,464,Always,FALSE,6439713
3,192,,Always,FALSE,
3,216,,Always,FALSE,
3,240,,Always,FALSE,
3,264,,Always,FALSE,
1,0,259,Never,TRUE,15734
1,24,259,Never,TRUE,43980
1,48,259,Never,TRUE,5084
1,72,259,Never,TRUE,5326
1,96,510,Never,TRUE,2954
1,120,631,Never,TRUE,1360
1,144,464,Never,TRUE,822
1,168,464,Never,TRUE,573
1,192,,Never,TRUE,
1,216,,Never,TRUE,
1,240,,Never,TRUE,
1,264,,Never,TRUE,
2,0,259,Never,TRUE,16743
2,24,259,Never,TRUE,40377
2,48,259,Never,TRUE,4722
2,72,259,Never,TRUE,5030
2,96,510,Never,TRUE,3347
2,120,631,Never,TRUE,1430
2,144,464,Never,TRUE,905
2,168,464,Never,TRUE,615
2,192,,Never,TRUE,
2,216,,Never,TRUE,
2,240,,Never,TRUE,
2,264,,Never,TRUE,
3,0,259,Never,TRUE,16335
3,24,259,Never,TRUE,45288
3,48,259,Never,TRUE,4885
3,72,259,Never,TRUE,5912
3,96,510,Never,TRUE,3169
3,120,631,Never,TRUE,1666
3,144,464,Never,TRUE,997
3,168,464,Never,TRUE,538
3,192,,Never,TRUE,
3,216,,Never,TRUE,
3,240,,Never,TRUE,
3,264,,Never,TRUE,
1,0,259,Re-added at 30 h,TRUE,16907
1,24,259,Re-added at 30 h,TRUE,45499
1,48,259,Re-added at 30 h,TRUE,5027
1,72,259,Re-added at 30 h,TRUE,6979
1,96,510,Re-added at 30 h,TRUE,7568
1,120,631,Re-added at 30 h,TRUE,17891
1,144,464,Re-added at 30 h,TRUE,34943
1,168,464,Re-added at 30 h,TRUE,76104
1,192,,Re-added at 30 h,TRUE,
1,216,,Re-added at 30 h,TRUE,
1,240,,Re-added at 30 h,TRUE,
1,264,,Re-added at 30 h,TRUE,
2,0,259,Re-added at 30 h,TRUE,16034
2,24,259,Re-added at 30 h,TRUE,40260
2,48,259,Re-added at 30 h,TRUE,5944
2,72,259,Re-added at 30 h,TRUE,6798
2,96,510,Re-added at 30 h,TRUE,8586
2,120,631,Re-added at 30 h,TRUE,17587
2,144,464,Re-added at 30 h,TRUE,33736
2,168,464,Re-added at 30 h,TRUE,68607
2,192,,Re-added at 30 h,TRUE,
2,216,,Re-added at 30 h,TRUE,
2,240,,Re-added at 30 h,TRUE,
2,264,,Re-added at 30 h,TRUE,
3,0,259,Re-added at 30 h,TRUE,16674
3,24,259,Re-added at 30 h,TRUE,42179
3,48,259,Re-added at 30 h,TRUE,5821
3,72,259,Re-added at 30 h,TRUE,6852
3,96,510,Re-added at 30 h,TRUE,8996
3,120,631,Re-added at 30 h,TRUE,17698
3,144,464,Re-added at 30 h,TRUE,34891
3,168,464,Re-added at 30 h,TRUE,74257
3,192,,Re-added at 30 h,TRUE,
3,216,,Re-added at 30 h,TRUE,
3,240,,Re-added at 30 h,TRUE,
3,264,,Re-added at 30 h,TRUE,
1,0,259,Always,TRUE,16727
1,24,259,Always,TRUE,57830
1,48,259,Always,TRUE,2766
1,72,259,Always,TRUE,4590
1,96,510,Always,TRUE,8490
1,120,631,Always,TRUE,23616
1,144,464,Always,TRUE,42370
1,168,464,Always,TRUE,99217
1,192,,Always,TRUE,
1,216,,Always,TRUE,
1,240,,Always,TRUE,
1,264,,Always,TRUE,
2,0,259,Always,TRUE,16734
2,24,259,Always,TRUE,58696
2,48,259,Always,TRUE,2944
2,72,259,Always,TRUE,4106
2,96,510,Always,TRUE,8285
2,120,631,Always,TRUE,22150
2,144,464,Always,TRUE,43690
2,168,464,Always,TRUE,110398
2,192,,Always,TRUE,
2,216,,Always,TRUE,
2,240,,Always,TRUE,
2,264,,Always,TRUE,
3,0,259,Always,TRUE,16733
3,24,259,Always,TRUE,56779
3,48,259,Always,TRUE,2301
3,72,259,Always,TRUE,4412
3,96,510,Always,TRUE,8291
3,120,631,Always,TRUE,24185
3,144,464,Always,TRUE,42300
3,168,464,Always,TRUE,127778
3,192,,Always,TRUE,
3,216,,Always,TRUE,
3,240,,Always,TRUE,
3,264,,Always,TRUE,